receptor,smiles,vina
ADRB2,O=C(NCc1ccccc1)c1ccccc1,-8.80
ADRB2,COc1ccc(F)c(NC(=O)Oc2ccccc2)c1,-8.80
ADRB2,COc1cccc(C(=O)NCc2ccncc2)c1,-8.70
ADRB2,Cc1ccccc1CNC(=O)c1ccccc1,-9.20
ADRB2,O=C(NCc1cccc(F)c1)c1ccccc1,-8.80
ADRB2,O=C(NCc1ccncc1)c1ccccc1,-8.20
ADRB2,COc1cccc(C(=O)NC(=O)c2ccccc2)c1,-8.70
ADRB2,Cc1cnccc1CNC(=O)c1ccccc1,-9.20
ADRB2,NC(=O)c1ccc(Cl)c(CCN2CC[C@@H]3CCCC[C@H]3C2)c1,-9.00
ADRB2,O=C(NCc1cccnc1)c1ccccc1,-8.20
ADRB2,O=C(NCc1cccc(O)c1)c1ccccc1,-9.00
ADRB2,CC1=NN(CC=Cc2cc(F)ccc2[C@H]2CCC[C@@H]2N)C2=NN=C[C@@H]12,-9.00
ADRB2,O=C(c1cccc(C=CCO)c1)N1CC[C@@H]2CC=CN=C2C1,-9.00
ADRB2,O=C(NCc1cncnc1)c1ccccc1,-7.80
ADRB2,CCCNc1nsc(-c2cc(Cl)ccc2O)n1,-7.60
ADRB2,Cc1cccc(NC(=O)c2ccccc2F)c1,-9.80
ADRB2,CNc1ncnc2ccc(O[C@@H]3CCC4(CCCC4)OC3)cc12,-9.60
ADRB2,O=C(Nc1ccccc1)[C@H]1C=Cc2ccc(O)cc2C1,-8.00
ADRB2,CC(C)(C)c1ccc(O)c(NCC(=O)N2CCCCC2)c1,-8.70
ADRB2,CC(C)NC(=O)c1cccc(NCC2=NCN(C)C2)c1,-8.30
ADRB2,COc1cc(C)c2ccc(C(=O)O)c(F)c2c1,-7.60
ADRB2,O=C(NCC1=CCCS1)c1ccccc1,-7.80
ADRB2,O=C(O)Cc1ccc2c(c1)N1C(=O)N3CC=CC=C3C[C@@H]1CO2,-8.10
ADRB2,CNc1ncnc2ccc(O[C@@H]3CCC4(CCCCC4)OC3)cc12,-9.90
ADRB2,O=C(NCc1cncs1)c1ccccc1,-7.50
ADRB2,Cn1ccc(CCC(=O)[C@@H]2NC(=O)c3ccc(C(N)=O)cc3O2)c1,-9.30
ADRB2,CCCCc1cc(=O)[nH]c(C2=CC(=O)C(Cc3ccccc3)=C2)n1,-9.90
ADRB2,NC(=O)c1ccc2c(c1)O[C@H](C(=O)CCc1ccsc1)NC2=O,-9.20
ADRB2,CC1CCN(C(=O)CCNc2cccc(-c3ccc(F)cc3O)c2)CC1,-9.70
ADRB2,C[C@H]1CCN(CC=Cc2cc(F)ccc2[C@H]2CCC[C@@H]2N)N1,-9.00
ADRB2,O=C1CCN(C(=O)CCNC(=O)C2=C3C=C(c4ccccc4)CCC3=NC2)C1,-9.90
ADRB2,O=C(O)Cc1ccc2c(c1)N(C(=O)CNc1ccccc1F)CCO2,-8.80
ADRB2,CC1(C)CCN(CC=Cc2cc(F)ccc2[C@H]2CCC[C@@H]2N)N1,-8.50
ADRB2,CC(=O)Nc1cccc([C@@H]2C=C3COc4ccc(CC(=O)O)cc4N3C(=O)C2)c1,-8.70
ADRB2,CC(C)(C)c1ccc(O)c(NCCN2CCCCC2=O)c1,-8.20
ADRB2,N[C@H]1CCC[C@@H]1c1ccc(F)cc1C=CCN1CCCN1,-8.50
ADRB2,O=C(NCC1=CNCS1)c1ccccc1,-7.50
ADRB2,O=C(CC[C@H]1CCCN1)c1ccc2ccccc2c1F,-9.10
ADRB2,C1=NC=C(c2cccc(NC[C@@H]3CCCCNC3)c2)C1,-9.20
ADRB2,C[C@@H]1CCN(C2=CNN=C(c3ccccc3)C2)C1,-8.80
ADRB2,COc1cccc(C(=O)NCCCCN2CCOCC2)c1,-9.00
ADRB2,CCCCc1cc(=O)[nH]c(C2=CC(=O)C(Cc3cccc(F)c3)=C2)n1,-9.90
ADRB2,C[C@@]1(N)CCN(c2cccc(-c3ccsc3)c2)C1,-7.90
ADRB2,O=C(CCc1ccccc1)N1CCC[C@@H](NC[C@H](O)C2CCCC2)C1,-10.50
ADRB2,CCC(=O)NCC(=O)N1CCOc2ccc(CC(=O)O)cc21,-7.40
ADRB2,COC(=O)Nc1cccc([C@@H]2C=C3COc4ccc(CC(=O)O)cc4N3C(=O)C2)c1,-9.10
ADRB2,CC(C)(CO)CCN[C@@H]1CCCN(C(=O)CCc2ccccc2)C1,-8.40
ADRB2,O=c1[nH]ccn1C1=CN=C(c2ccccc2)C1,-8.20
ADRB2,COc1cc(F)cc(CCC(=O)N2CCCC2)c1,-9.10
ADRB2,NCC[C@H]1COc2cc(O)c(CCN3CCCCC3)cc21,-8.40
ADRB2,C[C@H]1CC[C@](C)(CCN[C@@H]2CCCN(C(=O)CCc3ccccc3)C2)C1,-9.80
ADRB2,COc1ccc(OCCN)cc1NC(=O)CN1CCCC1,-7.20
ADRB2,O=C(CNC1=CC(F)=CCC1)NC(=O)NCCc1ccccc1,-9.80
ADRB2,CCCNC1=NCC(c2ccccc2O)=N1,-7.70
ADRB2,O=C(CNc1ccccc1)NC(=O)NCCc1ccccc1,-9.70
ADRB2,Cc1ccc(NCC(=O)NC(=O)NCCc2ccccc2)cc1F,-9.90
ADRB2,CC1=NN(CC=Cc2cc(F)ccc2[C@H]2CCC[C@@H]2N)C2=NNNC12,-8.70
ADRB2,O[C@H]1CCN(C2=CNN=C(c3ccccc3)C2)C1,-8.50
ADRB2,CN(CCCOc1cccc(CC(=O)O)c1)C(=O)c1ccccc1,-8.80
ADRB2,O=C(CNC1=CC=CCC1)NC(=O)NCCc1ccccc1,-9.40
ADRB2,CC(=O)NC[C@@H](C)c1ccc(O)c(NCC(=O)N2CCCCC2)c1,-9.10
ADRB2,CN1C=CC=C(CNC(=O)CCN2CCN(C3=NN=C(c4ccccc4)C3)C2=O)C1,-11.70
ADRB2,CC(C(=O)NCCC1=NCC(C)(C)C1)=C1C=CCC(c2ccccc2)=C1,-10.50
ADRB2,O=C(CNc1cc(F)ccc1F)NC(=O)NCCc1ccccc1,-9.80
ADRB2,O=C(CNC1=C[C@@H](F)CCC1)NC(=O)NCCc1ccccc1,-9.70
ADRB2,NC1=NC[C@@H](c2cccc(O[C@@H]3C[C@H]4CCCCN[C@H]4C3)c2)N1,-10.40
ADRB2,O[C@@H]1CCN(C2=NN=C(c3ccccc3)C2)C1,-8.00
ADRB2,CC(C)(O)C1=CC=C2C=c3ccc4c(c3=C2C1)CCCC4,-9.20
ADRB2,N[C@H]1CCC[C@@H]1c1ccc(F)cc1C=CCn1nccc2cnnc1-2,-8.30
ADRB2,N[C@H]1CCC[C@@H]1c1ccc(F)cc1C=CCn1nccc2nnnc1-2,-8.30
ADRB2,CCN(C)CCOc1cc(NC(C)=O)ccc1O,-7.60
ADRB2,Cc1nn(CC=Cc2cc(F)ccc2[C@H]2CCC[C@@H]2N)c2nnccc12,-8.60
ADRB2,CNC(=O)CCc1ccc(O)c(-c2cc(C)c3ccc(C)cc3n2)c1,-9.90
ADRB2,O=C(O)CC=C1C[C@@H](OCNc2cc3ccccc3cc2F)CCO1,-10.10
ADRB2,CC(C)CNCCc1cccc(C(N)=O)c1,-8.40
ADRB2,c1ccc(C2=NCN=C(N3CCN(CC[C@@H]4C[C@@H]5OCC[C@@H]5O4)CC3)C2)cc1,-9.60
ADRB2,O=C(O)Cc1ccc2c(c1)N1C(=O)C[C@H](c3cccc(NC(=O)O)c3)C=C1CO2,-9.20
ADRB2,CCN(CC=Cc1cc(F)ccc1[C@H]1CCC[C@@H]1N)NC,-7.30
ADRB2,CCNN(C)CC=Cc1cc(F)ccc1[C@H]1CCC[C@@H]1N,-7.30
ADRB2,COc1ccc(OCCN)cc1NCC[C@@H]1CCCN1C,-7.30
ADRB2,NC(=O)c1ccc(Cl)c(Nc2ncc3cccnc3n2)c1,-9.90
ADRB2,O=C1NCCN1C1=NN=C(c2ccccc2)C1,-9.20
ADRB2,O=C(O)Cc1ccc2c(c1)N(C(=O)CNc1cccc(O)c1)CCO2,-9.00
ADRB2,NC1=NC[C@@H](c2cccc(OCC[C@H]3CCCCN3)c2)N1,-9.30
ADRB2,O=C(CCc1ccccc1)N1CCC[C@@H](NC[C@@H]2OCC=C3CCCN[C@H]32)C1,-10.40
ADRB2,CNC(=O)Cc1ccc(O)c(NCCC(C)(C)C)c1,-8.30
